id,name,regular_price,promo_price,brand
2047000014,Яйцо столовое C0 10шт,51.69,,Различные бренды
1000171695,Ацидофилин Пискаревский сладкий 2.2% 500г,54.99,,Пискаревский
3454700001,Яйцо столовое C1 10шт,46.89,,Различные бренды
1000003289,Сметана Пискаревская 15% 200г,64.99,,Пискаревский
1899800733,Молоко Простоквашино пастеризованное 2.5% 930мл,99.99,,Простоквашино
1899913369,Молоко Клевер пастеризованное 2.5% 900мл,77.99,,Клевер
2047000007,Яйцо столовое С2 10шт в ассортименте,39.99,,Различные бренды
1855599920,Масло сливочное Магнит Крестьянское 72.5% 180г,145.29,,Магнит
1000372785,Сметана Простоквашино 15% 300г,104.99,,Простоквашино
1000284419,Простокваша Эго Мечниковская термостатная 4% 300г,59.99,,Эго
1000276128,Биоpяженка Пискаревская 4% 500мл,62.99,,Пискаревский
1000191939,Молоко Пискаревское пастеризованное 2.5% 1л,84.99,,Пискаревский
1000443994,Молоко Минская марка ультрапастеризованное 3.2% 900мл,89.99,,Минская Марка
1000082622,Сметана Пискаревская 15% 450г,119.99,,Пискаревский
1000144076,Творог Свежее завтра 5% 200г,119.99,94.99,Свежее Завтра
1000222667,Сметана Большая кружка Легкая 10% 300г,102.99,74.99,Большая Кружка
1000445487,Молоко Северное молоко Вологодское пастеризованное 2.5% 930г,92.99,74.99,Северное Молоко
1000143306,Молоко Домик в деревне пастеризованное 2.5% 1.4л,144.99,,Домик в Деревне
1000451592,Ряженка Большая кружка 4% 500г,79.99,,Большая Кружка
2400019178,Творог Пискаревский 5% 250г,99.99,,Пискаревский
1000037901,Молоко Свежее завтра пастеризованное 2.5% 500мл,64.99,,Свежее Завтра
8000029030,Молоко Обнимуу цельное отборное пастеризованное 3.4-6.0% 930мл,89.99,,Обнимуу
1000418036,Молоко Минская марка ультрапастеризованное 2.5% 900мл,84.99,,Минская Марка
1000445488,Молоко Северное Молоко пастеризованное 3.2% 930г,99.99,84.99,Северное Молоко
1000144079,Сливки Большая кружка ультрапастеризованные 10% 500г,169.99,119.99,Большая Кружка
1000144077,Творог Свежее завтра 9% 200г,104.99,,Большая Кружка
8000032648,Творог Хорошее дело 5% 500г,159.99,,Хорошее Дело
8000026015,Молоко Домик в деревне пастеризованное 3.2% 1.4л,149.99,,Домик в Деревне
1000219465,Сметана Большая кружка 15% 300г,89.99,,Большая Кружка
1000016691,Майонез Слобода на перепелиных яйцах 67% 375г,139.99,99.99,Слобода
1000247234,Яйцо куриное Окское С0 столовое 10шт,119.99,,Окское
1000531929,Кефир Вологодский 2.5% 930г,99.99,79.99,Северное Молоко
1000208902,Сметана Резной Палисад 15% 300г,129.99,79.99,Резной Палисад
8000021506,Молоко Обнимуу цельное отборное пастеризованное 3.4-6.0% 1.4л,163.99,129.99,Обнимуу
1000084229,Масло сладко-сливочное Брест-Литовск 82.5% 180г,209.99,,Брест-Литовск
1000372781,Сметана Простоквашино 25% 300г,149.99,,Простоквашино
1899913371,Сметана Клевер 20% 300г,104.99,,Клевер
1000070643,Масло сливочное Северное молоко Традиционное 82.5% 180г,269.99,239.99,Северное Молоко
3112081002,Бисквитное пирожное молочный ломтик Kinder 28г,63.99,,Kinder
1000530946,Сливки Клевер ультрапастеризованные 20% 500г,189.99,,Клевер
1000444270,Масса творожная Гармония Изюм 4.5% 180г,99.99,79.99,Гармония
1000550939,Масло сливочное Варну Традиционное 82.5% 180г,239.99,179.99,Варну
1000054609,Маргарин Хозяюшка Сливочный Нижегородский 60% 200г,57.99,,Хозяюшка
1000313056,Молочный коктейль Angelato Клубника со сливками 2% 200г,31.99,,Angelato
1000250165,Творог Свежее завтра 5% 400г,229.99,174.99,Свежее Завтра
1000551077,Молоко Эго топленое 3.2% 900г,105.99,,Эго
1000451590,Кефир Большая кружка 2.5% 500г,79.99,69.99,Большая Кружка
1000524277,Творог Северное молоко Вологодский 5% 300г,129.99,109.99,Северное Молоко
1000289330,Трубочка Вареная сгущенка Русский свиток 70г,44.99,,Русский Свиток
1000378039,Масло сливочное ЭкоНива 72.5% 180г,199.99,,Эконива
1000462062,Молоко Простоквашино пастеризованное 3.2% 1.4л,149.99,,Простоквашино
8000035449,Сметана Свежее завтра безлактозная 15% 300г,89.99,,Свежее Завтра
1000111762,Молочный коктейль Топтыжка Клубника со сливками 3.2% 200г,39.99,,Топтыжка
1000325457,Масса творожная Хозяйство Васильевой АВ с сахаром и изюмом 4.5% 350г,147.99,,Хозяйство Васильевой А.В.
1000372783,Творог Простоквашино 2% 200г,109.99,,Простоквашино
1000372780,Сметана Простоквашино 20% 300г,123.99,,Простоквашино
1844000142,Масло сливочное Северное Молоко Крестьянское из Вологды 72.5% 180г,249.99,209.99,Северное Молоко
8000032647,Творог Хорошее дело 9% 500г,169.99,,Хорошее Дело
1000208910,Творог Резной палисад традиционный 9% 400г,249.99,179.99,Резной Палисад
1000307852,Кефир Здравушка 2.5% 930г,79.99,,Здравушка
1000158620,Сливки Большая кружка ультрапастеризованные 20% 200мл,93.99,74.99,Большая Кружка
1000130278,Биокефир Здравушка 1% 930мл,65.99,,Здравушка
1000184393,Сливки Клевер 35% для взбивания ультрапастеризованные 500г,269.99,,Клевер
1000572817,Ряженка Большая кружка персик 3.5% 260г,59.99,,Большая Кружка
1000077286,Сметана Вологодская 15% 400г,119.99,,Северное Молоко
1000450507,Майонез Печагин с перепелиными яйцами 50% 380г,89.8,44.9,Печагин
1000006090,Сливки Магнит стерилизованные 10%  500мл,109.99,,Магнит
1899912534,Кефир Северное молоко Вологодский 2.5% 500г,49.99,,Северное Молоко
1000373620,Желе Моя цена со вкусом яблока 150г,25.99,,Моя цена
1000326777,Йогурт Хозяйство Васильевой А. В. Манго 2.7% 350г,119.99,99.99,Хозяйство Васильевой А.В.
1000372786,Творог Простоквашино 5% 200г,119.99,,Простоквашино
1000177371,Молоко Клевер ультрапастеризованное 6% 1л,149.99,134.99,Клевер
1000461809,Сметана Брест-Литовск 20% 300г,114.99,,Брест-Литовск
1000203662,Сметана Вкуснотеево 20% 300г,99.99,,Вкуснотеево
1899800732,Молоко Простоквашино отборное пастеризованное 3.4-4.5% 930мл,119.99,,Простоквашино
1000378038,Масло сливочное ЭкоНива 82.5% 180г,229.99,,Эконива
1000276188,Молоко козье Дар гор ультрапастеризованное 3.4-4.8% 200мл,119.99,,Дар Гор
1000571423,Масса творожная Хозяйство Васильевой Вишня 4.5% 180г,99.99,89.99,Хозяйство Васильевой А.В.
1000374189,Маргарин Пышка для выпечки 72% 200г,64.99,,Пышка
1899800825,Молоко детское Тема ультрапастеризованное 3.2% 200мл,49.99,,Тема
1000023413,Молоко Моя цена ультрапастеризованное 1.5% 973мл,59.99,,Моя цена
1000373619,Желе Моя цена со вкусом вишни 150г,32.99,,Моя цена
1000072535,Пудинг Эрмигурт Шоколадный 3.2% 100г,43.99,,Эрмигурт
3010420008,Молочный коктейль Чудо Шоколад 3% 200мл,59.99,,Чудо
1000348639,Масло сливочное Рогачёв шоколадное 62% 160г,189.99,,Рогачевъ
1000060665,Творог зерненый Савушкин 5% 130г,58.99,,Савушкин
1000385103,Паста творожная Савушкин груша банан 3.5% 120г,52.99,,Савушкин
1000429960,Продукт творожный Простоквашино Груша банан 3.6% 130г,49.99,,Простоквашино
1000551493,Майонезный соус Я люблю готовить Растительный 55% 175г,73.99,,Я Люблю Готовить
1000452768,Напиток сывороточный Рахта апельсин 1.4л,79.99,63.99,Славмо
1000389245,Йогурт Коломенский Драгонфрукт-манго-чиа 5% 170г,79.99,,Коломенский
1000221262,Майонез Mr.Ricco на перепелином яйце 67% 750г,269.99,,Mr. Ricco
1059990140,Молоко Тема детское с 3 лет 3.2% 500мл,99.99,79.99,Тема
1000023414,Молоко Моя цена ультрапастеризованное 2.5% 973мл,79.99,,Моя цена
1000006089,Сливки Моя цена стерилизованные 10% 200мл,47.99,,Моя цена
1000247393,Яйцо Синявинское Деревенское столовое С1 10шт,84.79,,Синявинское
1000270338,Продукт Буренкин луг растительно-сливочный 72.5% 180г,69.99,,Буренкин Луг
1000489096,Десерт Epica Flavorite творожный груша ваниль грецкий орех 8% 130г,59.99,,Epica
1899912472,Йогурт Даниссимо Фантазия с хрустящими шариками в шоколаде 6.9% 105г,64.99,,Даниссимо
1000350609,Кефир Минская Марка 3.2% 900мл,94.99,,Минская Марка
1000060661,Творог зерненый Савушкин Малина 5% 130г,67.99,,Савушкин
1000313369,Молочный коктейль Angelato Шоколадный 2% 200г,31.99,,Angelato
1000400387,Творог зерненый Простоквашино в сливках 5% 320г,139.99,,Простоквашино
1000579055,Йогурт Свежее завтра безлактозный Клубника 2.8% 180г,65.99,,Свежее Завтра
2400010588,Молоко Клевер топленое 4% 1л,134.99,,Клевер
1000084212,Майонез Слобода Провансаль 67% 230мл,89.99,,Слобода
1000572168,Творог Резной палисад 9% 180г,89.99,74.99,Резной Палисад
1618300005,Желе Аппетиссимо Вишня 150г,23.99,,Аппетиссимо
1000206972,Йогурт Фрутоняня Малина 2.5% 200мл,51.99,,Фрутоняня
1000191619,Масло сливочное Вкуснотеево Традиционное 82.5% 200г,249.99,,Вкуснотеево
1000299287,Сливки Вкуснотеево для взбивания ультрапастеризованные 33% 250г,179.99,,Вкуснотеево
1000224037,Творог Савушкин Традиционный 5% 300г,129.99,,Савушкин Хуторок
1812450029,Молоко Домик в деревне ультрапастеризованное 2.5% 950г,114.99,,Домик в Деревне
1000558908,Майонез Махеевъ Провансаль с лимонным соком 50.5% 630г,209.99,,Махеевъ
1000577115,Продукт творожный Простоквашино голубика банан 3.6% 110г,44.99,,Простоквашино
8000023980,Майонез Слобода на перепелиных яйцах 67% 656г,209.99,154.99,Слобода
1000554514,Майонез Ряба Провансаль 50.5% 575г,199.99,119.99,Ряба
1000100778,Творожок Савушкин Кокос миндаль 3.5% 120г,52.99,,Савушкин
1000551513,Йогурт Простоквашино густой Греческий 2% 135г,49.99,,Простоквашино
1000047322,Десерт творожный Чудо Вишня черешня 4% 100г,64.99,,Чудо
